,token_type,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active,vc_count
226,Utility-token,Switzerland,limited liability partnership,Blockchain Infrastructure,0,1,0,1,1,2,12,7.0,101.0,1,35.0,1,1
227,Cryptocurrency,Hong Kong,joint-stock corporation,Commerce & Advertising,0,1,0,1,1,64,25,44.0,30.0,0,40.0,0,0
228,Utility-token,United States,joint-stock corporation,Data Storage,0,1,0,0,1,22,12,25.0,30.0,1,37.0,1,3
229,Utility-token,United States,joint-stock corporation,Video Games & VR,0,1,0,1,1,31,13,13.0,56.0,0,20.0,1,0
230,Utility-token,Gibraltar,joint-stock corporation,Gambling & Betting,1,1,0,0,1,2,19,2.0,30.0,1,57.0,1,0
231,Utility-token,United States,joint-stock corporation,Blockchain Infrastructure,0,1,0,0,1,39,7,11.0,14.0,1,18.0,1,0
232,Utility-token,other,other,Energy & Utilities,0,1,0,1,0,28,13,-19.0,2.0,1,24.0,1,0
233,Security,Singapore,joint-stock corporation,Finance,0,1,0,0,1,34,10,19.0,3.0,1,19.0,0,1
234,Security,Switzerland,joint-stock corporation,Finance,0,1,1,1,1,35,15,24.0,15.0,1,33.0,1,0
235,Utility-token,other,joint-stock corporation,Social Networks,0,1,0,0,1,30,9,-319.0,5.0,1,65.0,1,1
236,Security,Singapore,joint-stock corporation,Trading & Exchanges,0,1,0,0,1,32,7,-28.0,7.0,1,17.0,0,0
237,Security,Singapore,other,Finance,0,1,0,0,0,48,9,29.0,25.0,1,9.0,1,0
238,Utility-token,other,limited liability partnership,Provenance & Notary,0,1,0,1,1,1,14,16.0,19.0,1,50.0,0,0
239,Utility-token,Singapore,joint-stock corporation,Payments,0,1,0,1,1,21,11,16.0,25.0,0,50.0,1,0
240,Security,Singapore,joint-stock corporation,Payments,0,1,0,0,1,1,9,3.0,105.0,1,51.0,1,2
241,New Blockchain,Switzerland,foundation,Blockchain Infrastructure,0,1,1,0,1,14,10,80.0,220.0,1,17.0,1,2
242,Utility-token,United States,joint-stock corporation,Privacy & Security,0,1,0,1,1,2,3,30.0,25.0,0,34.0,1,2
243,Cryptocurrency,other,limited liability partnership,Social Networks,0,1,0,0,1,28,8,22.0,9.0,1,59.0,0,0
244,Utility-token,Cayman Islands,joint-stock corporation,Finance,0,1,0,1,1,17,4,3.0,14.0,1,25.0,1,2
245,Security,Cayman Islands,limited liability partnership,Finance,0,1,0,0,1,15,8,57.0,15.0,1,35.0,1,0
246,Security,United Kingdom,joint-stock corporation,Payments,0,1,0,1,1,1,8,5.0,13.0,1,29.0,1,0
247,Cryptocurrency,other,other,Payments,0,1,0,1,0,20,7,100.0,34.0,1,71.0,0,1
248,New Blockchain,Singapore,joint-stock corporation,Blockchain Infrastructure,0,1,1,1,1,1,6,7.0,8.0,1,37.0,1,3
249,Utility-token,Switzerland,joint-stock corporation,Trading & Exchanges,0,1,0,1,1,33,12,5.0,42.0,1,35.0,0,0
250,Cryptocurrency,United States,joint-stock corporation,Social Networks,0,1,0,1,1,28,25,61.0,52.0,1,20.0,1,0
251,Security,other,limited liability partnership,Gambling & Betting,0,1,1,1,1,30,7,27.0,5.0,1,34.0,0,1
252,Utility-token,other,joint-stock corporation,Gambling & Betting,1,1,0,1,1,31,18,15.0,48.0,0,11.0,0,7
253,New Blockchain,other,other,Blockchain Infrastructure,0,1,0,1,0,44,20,69.0,15.0,1,18.0,0,0
254,Cryptocurrency,Cayman Islands,joint-stock corporation,Payments,0,1,0,0,1,61,4,96.0,19.0,1,13.0,1,0
255,unknown,United Kingdom,foundation,Payments,0,1,0,0,1,37,9,36.0,18.0,1,27.0,1,0
256,Cryptocurrency,Switzerland,joint-stock corporation,Payments,0,1,0,1,1,19,15,39.0,21.0,1,38.0,1,0
257,Utility-token,United States,limited liability partnership,Finance,0,1,0,0,1,32,4,13.0,0.0,1,0.0,1,0
258,Utility-token,United States,joint-stock corporation,Art & Music,0,1,0,0,1,30,7,40.0,2.0,0,21.0,0,2
259,Utility-token,other,joint-stock corporation,Art & Music,0,1,0,0,1,1,8,33.0,11.0,1,34.0,1,1
260,Security,other,other,Gambling & Betting,0,1,0,0,0,28,4,7.0,2.0,1,6.0,0,0
261,Cryptocurrency,Singapore,joint-stock corporation,Provenance & Notary,0,1,0,1,1,62,10,-47.0,12.0,0,40.0,1,0
262,Utility-token,other,joint-stock corporation,Gambling & Betting,0,1,0,0,1,21,5,14.0,11.0,1,34.0,1,0
263,New Blockchain,Switzerland,joint-stock corporation,Blockchain Infrastructure,0,1,0,0,1,50,2,2.0,16.0,0,11.0,1,0
264,Utility-token,United States,joint-stock corporation,Finance,0,1,0,0,1,42,11,8.0,5.0,1,40.0,1,0
265,Security,Switzerland,foundation,Finance,0,1,0,0,1,50,12,5.0,2.0,0,21.0,1,0
266,unknown,other,other,Events & Entertainment,0,1,0,0,0,24,5,20.0,10.0,0,27.0,1,0
267,Security,other,other,Commodities,0,1,0,0,0,1,9,4.0,0.0,0,19.0,0,0
268,Security,other,limited liability partnership,Commodities,0,1,0,0,1,30,6,7.0,10.0,1,22.0,0,0
