,name_other,name_cmc,ticker_symbol_cmc,token_type,vc_support_blockchain_specialist,vc_support_general,registration_country,legal_structure,industry,celebrity_endorsement,ico_successful,investors_have_governance_rights,kyc/aml_procedure,legal_form_and_jurisdiction_known,"length_of_crowdsale_(calendar_days,_actual)",team_size,time_to_listing_(calendar_days),total_amount_raised_(usdm),use_of_proceeds_mentioned,whitepaper_page_count,is_active
98,Centra,Centra,CTR,unknown,No,No,United States,joint-stock corporation,Payments,1,1.0,0,0,1,14,20.0,-55.0,36.0,0,18.0,1
101,ChainLink,Chainlink,LINK,Utility-token,No,No,United States,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,0,1,1,2.0,1.0,32.0,0,38.0,1
102,Change,Change,CAG,Cryptocurrency,No,No,Estonia,joint-stock corporation,Finance,0,1.0,0,1,1,31,16.0,1.0,17.0,1,12.0,0
103,Chronobank,Chronobank,TIME,Security,No,No,Australia,joint-stock corporation,Marketplaces,0,1.0,0,0,1,64,7.0,13.0,5.0,0,9.0,1
106,Chronologic,Chronologic,DAY,Cryptocurrency,Wired Investors,No,Hong Kong,joint-stock corporation,Blockchain Infrastructure,0,1.0,0,1,1,8,2.0,21.0,,0,18.0,1
108,Cindicator,Cindicator,CND,Utility-token,Bitfin Capital; Token Fund,Starta Accelerator,Gibraltar,joint-stock corporation,Finance,0,1.0,0,1,1,33,16.0,1.0,17.0,1,37.0,1
111,Civic,Civic,CVC,Utility-token,Blockchain Capital; Pantera Capital; Digital Currency Group,Propel Venture Partners,United States,joint-stock corporation,Identity & Reputation,0,1.0,0,1,1,8,,19.0,33.0,1,18.0,1
115,Cobinhood,Cobinhood,COB,Security,No,Infinity Ventures,Cayman Islands,joint-stock corporation,Trading & Exchanges,1,1.0,0,0,1,40,,-21.0,14.0,1,18.0,1
118,Cofound.it,Cofound.it,CFI,Utility-token,No,No,British Virgin Islands,joint-stock corporation,Finance,0,1.0,0,0,1,4,6.0,12.0,15.0,1,17.0,0
119,CoinDash,CoinDash,CDT,Utility-token,No,No,Israel,joint-stock corporation,Trading & Exchanges,0,0.0,0,0,1,1,9.0,21.0,,0,19.0,1
121,CoinStarter (STC),StarterCoin,STAC,Utility-token,No,No,British Virgin Islands,joint-stock corporation,Finance,0,1.0,0,0,1,29,6.0,19.0,,1,52.0,1
122,CommerceBlock,CommerceBlock,CBT,Utility-token,CoinShares Fund 1 LP,GAHL,Gibraltar,joint-stock corporation,Finance,0,1.0,0,1,1,42,6.0,119.0,,1,13.0,1
129,Corion Platform,CORION,COR,Cryptocurrency,No,No,Switzerland,foundation,Blockchain Infrastructure,0,1.0,0,0,1,71,12.0,47.0,,1,32.0,1
131,Covesting,Covesting,COV,Utility-token,No,No,Gibraltar,joint-stock corporation,Finance,0,1.0,0,0,1,38,8.0,23.0,20.0,1,41.0,1
133,Crypterium,Crypterium,CRPT,Utility-token,No,No,Estonia,joint-stock corporation,Payments,0,1.0,0,1,1,67,11.0,17.0,55.0,0,35.0,1
134,CRYPTO20,CRYPTO20,C20,Security,No,No,Cayman Islands,joint-stock corporation,Finance,0,1.0,0,1,1,46,6.0,53.0,35.0,1,16.0,1
135,Cryptopay,Cryptopay,CPAY,Security,Seedcoin,No,Cayman Islands,foundation,Payments,0,1.0,0,1,1,36,56.0,59.0,18.0,0,28.0,1
137,CryptoPing,CryptoPing,PING,Utility-token,No,No,Gibraltar,joint-stock corporation,Trading & Exchanges,0,1.0,0,0,1,33,,8.0,3.0,0,10.0,1
139,CyberMiles,CyberMiles,CMT,Utility-token,No,SIG; IDG; Morningside; Blue Lake; Puhua,Hong Kong,limited liability partnership,Commerce & Advertising,0,1.0,1,1,1,41,7.0,3.0,38.0,1,27.0,1
141,DAO.Casino,DAO.Casino,BET,Utility-token,No,No,Singapore,joint-stock corporation,Gambling & Betting,0,1.0,0,0,1,23,8.0,-19.0,12.0,1,16.0,1
