,id,name,symbol,slug,rank,displayTV,is_active,first_historical_data,last_historical_data,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,platform
199,2231,Flixxo,FLIXX,flixxo,2018.0,1,1,2017-11-26T00:59:52.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf04a8ac553fcedb5ba99a64799155826c136b0be,
200,2707,FLIP,FLP,flip,1728.0,1,1,2018-05-04T17:44:25.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3a1bda28adb5b0a812a7cf10a1950c920f79bcd3,
201,2530,Fusion,FSN,fusion,617.0,1,1,2018-02-16T06:59:20.000Z,2022-10-28T09:59:00.000Z,,,,,,
202,2667,FintruX Network,FTX,fintrux-network,1704.0,1,1,2018-04-23T23:14:24.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xd559f20296FF4895da39b5bd9ADd54b442596a61,
203,4410,Forthewin,FTX,forethewin,,1,0,,,,,,,,
204,2120,Etherparty,FUEL,etherparty,1863.0,1,1,2017-10-30T18:04:28.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0xea38eaa3c86c8f9b751533ba2e562deb9acded40,
205,8659,Jetfuel Finance,FUEL,jetfuel-finance,4258.0,1,1,2021-03-02T16:50:09.000Z,2022-10-28T09:58:00.000Z,1839.0,BNB,BNB,bnb,0x2090c8295769791ab7a3cf1cc6e0aa19f35e441a,
206,1757,FUNToken,FUN,funtoken,269.0,1,1,2017-06-27T05:00:03.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,
207,17073,Affyn,FYN,affyn,3085.0,1,1,2022-01-29T13:35:00.000Z,2022-10-28T09:55:00.000Z,3890.0,Polygon,MATIC,polygon,0x3B56a704C01D650147ADE2b8cEE594066b3F9421,
208,1857,FundYourselfNow,FYN,fundyourselfnow,,1,0,2017-08-04T18:55:05.000Z,2018-10-24T00:23:54.000Z,,,,,,
209,6213,Global AEX Token,GAT,global-aex-token,2793.0,1,1,2021-03-07T05:15:00.000Z,2022-10-28T09:55:00.000Z,,,,,,
210,10255,Game Ace Token,GAT,game-ace-token,3983.0,1,1,2021-07-19T09:42:02.000Z,2022-10-28T09:57:00.000Z,1839.0,BNB,BNB,bnb,0xF315cfC8550F6FcA969D397cA8b807C5033fA122,
211,2425,Global Awards Token,GAT,global-awards-token,,1,0,2018-01-20T00:29:26.000Z,2020-07-07T23:59:06.000Z,1027.0,Ethereum,ETH,ethereum,0x687174f8c49ceb7729d925c3a961507ea4ac7b28,
212,2354,GET Protocol,GET,get-protocol,641.0,1,1,2018-01-11T06:34:18.000Z,2022-10-28T09:59:00.000Z,1027.0,Ethereum,ETH,ethereum,0x8a854288a5976036a725879164ca3e91d30c6a1b,
